feature_en,label_vi,keywords_vi,mapping_source
"Sudden and severe abdominal or pelvic pain on one side, sharp or stabbing pain, nausea, vomiting, fever, rapid heartbeat, abdominal tenderness, bloating, swelling, pain during intercourse, abnormal bleeding or spotting","Sudden and severe abdominal or pelvic pain on one side, sharp or stabbing pain, nausea, vomiting, fever, rapid heartbeat, abdominal tenderness, bloating, swelling, pain during intercourse, abnormal bleeding or spotting",,unmapped
"Sudden numbness or weakness of the face, arm, or leg (typically on one side of the body), confusion, trouble speaking or understanding, severe headache","Sudden numbness or weakness of the face, arm, or leg (typically on one side of the body), confusion, trouble speaking or understanding, severe headache",,unmapped
Sudden onset of neurological symptoms that resolve within 24 hours,Sudden onset of neurological symptoms that resolve within 24 hours,,unmapped
"Sudden, involuntary muscle contractions, muscle pain, stiffness, limited range of motion","Sudden, involuntary muscle contractions, muscle pain, stiffness, limited range of motion",,unmapped
"Sunburn-like rash, redness, itching","Sunburn-like rash, redness, itching",,unmapped
sunken eyes,Mắt trũng,mắt trũng,manual
suprapubic pain,Suprapubic pain,,unmapped
sweating,Đổ mồ hôi,đổ mồ hôi; vã mồ hôi,manual
swelled lymph nodes,Sưng hạch,sưng hạch; nổi hạch,manual
swelling joints,Sưng khớp,sưng khớp,manual
swelling of scrotum,Swelling of scrotum,,unmapped
swelling of stomach,Bụng sưng,bụng sưng; bụng chướng; sưng dạ dày; phù dạ dày,manual+auto
"Swelling, pain, dry mouth, bad taste","Swelling, pain, dry mouth, bad taste",,unmapped
"Swelling, pain, redness, fever, pus formation","Swelling, pain, redness, fever, pus formation",,unmapped
swollen blood vessels,Mạch máu sưng,mạch máu sưng; tĩnh mạch sưng,manual
"Swollen blood vessels in the esophagus, vomiting blood, black, tarry stools","Swollen blood vessels in the esophagus, vomiting blood, black, tarry stools",,unmapped
swollen extremeties,Sưng tay chân,sưng tay chân; phù chi,manual
swollen eye,Sưng mắt,sưng mắt; phù mắt,auto
swollen legs,Sưng chân,sưng chân; phù chân,manual
"Swollen lymph nodes, fever, fatigue, headache, rash","Swollen lymph nodes, fever, fatigue, headache, rash",,unmapped
"Swollen lymph nodes, unexplained weight loss, fatigue","Swollen lymph nodes, unexplained weight loss, fatigue",,unmapped
swollen or red tonsils,Swollen or red tonsils,,unmapped
"Swollen salivary glands (usually parotid), fever, headache, fatigue","Swollen salivary glands (usually parotid), fever, headache, fatigue",,unmapped
"Swollen, itchy, or painful veins in the rectal area","Swollen, itchy, or painful veins in the rectal area",,unmapped
"symptoms can include vision changes, eye movement abnormalities, facial weakness or paralysis, difficulty swallowing or speaking, loss of sensation in the face or other areas","Symptoms can include vision changes, eye movement abnormalities, facial weakness or paralysis, difficulty swallowing or speaking, loss of sensation in the face or other areas",,unmapped
symptoms of bladder,Symptoms of bladder,,unmapped
symptoms of eye,Symptoms of eye,,unmapped
symptoms of prostate,Symptoms of prostate,,unmapped
symptoms of the face,Symptoms of the face,,unmapped
symptoms of the kidneys,Symptoms of the kidneys,,unmapped
symptoms of the scrotum and testes,Symptoms of the scrotum and testes,,unmapped
temper problems,Temper problems,,unmapped
"Thickening of the skin, Raynaud's phenomenon","Thickening of the skin, raynaud's phenomenon",,unmapped
throat irritation,Rát họng,rát họng; ngứa họng,manual
throat swelling,Sưng họng,sưng họng; phù họng,auto
toothache,Đau răng,đau răng; nhức răng; răng đau,manual
toxic look (typhos),Vẻ nhiễm độc,vẻ nhiễm độc; nhiễm độc,manual
ulcers on tongue,Loét lưỡi,loét lưỡi; lở lưỡi,manual
"Uncomfortable sensation in the legs, usually in the evening or at night, urge to move legs for relief","Uncomfortable sensation in the legs, usually in the evening or at night, urge to move legs for relief",,unmapped
unpredictable menstruation,Unpredictable menstruation,,unmapped
unsteadiness,Đi không vững,đi không vững; loạng choạng,manual
unusual color or odor to urine,Unusual color or odor to urine,,unmapped
upper abdominal pain,Đau bụng,đau bụng; nhức bụng,auto
uterine contractions,Uterine contractions,,unmapped
vaginal discharge,Vaginal discharge,,unmapped
vaginal itching,Vaginal itching,,unmapped
vaginal pain,Vaginal pain,,unmapped
vaginal redness,Vaginal redness,,unmapped
"Vertigo, dizziness, nausea, hearing loss, ear pain","Vertigo, dizziness, nausea, hearing loss, ear pain",,unmapped
"Vertigo, hearing loss, tinnitus, ear fullness","Vertigo, hearing loss, tinnitus, ear fullness",,unmapped
"Vision loss or blurry vision, eye pain with eye movement, color vision impairment, flashing lights or floaters","Vision loss or blurry vision, eye pain with eye movement, color vision impairment, flashing lights or floaters",,unmapped
visual disturbances,Rối loạn thị giác,rối loạn thị giác; nhìn bất thường; sợ ánh sáng; nhạy cảm ánh sáng; sợ tiếng ồn; nhạy cảm tiếng ồn,manual
vomiting,Nôn,nôn; nôn ói; buồn nôn và nôn,manual
vomiting blood,Nôn ra máu,nôn ra máu; ói ra máu; nôn ra máu tươi,manual
warts,Warts,,unmapped
watering from eyes,Chảy nước mắt,chảy nước mắt; mắt chảy nước,manual
weakness,Weakness,,unmapped
weakness in limbs,Yếu tay chân,yếu tay chân; yếu chi,manual
weakness of one body side,Yếu nửa người,yếu nửa người; liệt nửa người,manual
"Weakness, numbness, tingling in limbs","Weakness, numbness, tingling in limbs",,unmapped
weight gain,Tăng cân,tăng cân,manual
weight loss,Sụt cân,sụt cân; giảm cân,manual
wheezing,Khò khè,khò khè; thở rít; thở khò khè,manual+auto
"Wheezing, shortness of breath, chest tightness","Wheezing, shortness of breath, chest tightness",,unmapped
white discharge from eye,White discharge from eye,,unmapped
"White patches or plaques in the mouth, often on the tongue or inside of the cheeks, that cannot be scraped off","White patches or plaques in the mouth, often on the tongue or inside of the cheeks, that cannot be scraped off",,unmapped
"Widespread musculoskeletal pain, fatigue, sleep disturbances","Widespread musculoskeletal pain, fatigue, sleep disturbances",,unmapped
"Widespread musculoskeletal pain, fatigue, sleep disturbances, cognitive difficulties (fibro fog), mood changes","Widespread musculoskeletal pain, fatigue, sleep disturbances, cognitive difficulties (fibro fog), mood changes",,unmapped
wrist pain,Wrist pain,,unmapped
wrist swelling,Wrist swelling,,unmapped
yellow crust ooze,Chảy dịch vàng,chảy dịch vàng; đóng vảy vàng,manual
yellow urine,Nước tiểu vàng,nước tiểu vàng; tiểu vàng,manual
yellowing of eyes,Vàng mắt,vàng mắt; mắt vàng,manual
yellowish skin,Vàng da,vàng da,manual
